clip_id,original_scene,scene_label,event_labels,split,mix_type,unknown_events_found,event_snr,event_timestamps,duration,sampling_rate
Val/ResidentialArea/ResidentialArea_user0503_15016504_002.wav,Val/ResidentialArea/ResidentialArea_user0503_15016504_002.wav,ResidentialArea,"['Outside, urban or manmade', 'Animal', 'Domestic_animals_and_pets', 'Yip', 'Bow-wow']",val,real-unknown,['Bark'],[],[],10.0,44100
Val/ResidentialArea/ResidentialArea_user0503_15016504_003.wav,Val/ResidentialArea/ResidentialArea_user0503_15016504_003.wav,ResidentialArea,"['Outside, urban or manmade', 'Animal', 'Domestic_animals_and_pets', 'Bow-wow']",val,real-unknown,['Bark'],[],[],10.0,44100
Val/ResidentialArea/ResidentialArea_user0503_15016504_005.wav,Val/ResidentialArea/ResidentialArea_user0503_15016504_005.wav,ResidentialArea,"['Animal', 'Domestic_animals_and_pets', 'Dog', 'Yip', 'Bow-wow']",val,real-unknown,['Bark'],[],[],10.0,44100
Val/ResidentialArea/ResidentialArea_user0503_15016495_001.wav,Val/ResidentialArea/ResidentialArea_user0503_15016495_001.wav,ResidentialArea,['Bicycle'],val,real-unknown,['Fire'],[],[],10.0,44100
Val/ResidentialArea/ResidentialArea_user0651_14978970_005.wav,Val/ResidentialArea/ResidentialArea_user0651_14978970_005.wav,ResidentialArea,"['Walk_and_footsteps', 'Silence']",val,real-unknown,['Alarm'],[],[],10.0,44100
Val/ResidentialArea/ResidentialArea_user0503_15016504_004.wav,Val/ResidentialArea/ResidentialArea_user0503_15016504_004.wav,ResidentialArea,"['Animal', 'Domestic_animals_and_pets', 'Bow-wow']",val,real-unknown,['Bark'],[],[],10.0,44100
Val/ResidentialArea/ResidentialArea_user0580_14884614_000.wav,Val/ResidentialArea/ResidentialArea_user0580_14884614_000.wav,ResidentialArea,['Bicycle'],val,real-unknown,['Bicycle_bell'],[],[],10.0,44100
Val/ResidentialArea/ResidentialArea_user0817_14984040_001.wav,Val/ResidentialArea/ResidentialArea_user0817_14984040_001.wav,ResidentialArea,['Raindrop'],val,real-unknown,['Rain'],[],[],10.0,44100
Val/ResidentialArea/ResidentialArea_user0755_14884562_000.wav,Val/ResidentialArea/ResidentialArea_user0755_14884562_000.wav,ResidentialArea,[],val,real-unknown,['Fire'],[],[],10.0,44100
Val/ResidentialArea/ResidentialArea_user0503_15016504_001.wav,Val/ResidentialArea/ResidentialArea_user0503_15016504_001.wav,ResidentialArea,"['Animal', 'Domestic_animals_and_pets', 'Chink_and_clink', 'Yip', 'Bow-wow']",val,real-unknown,['Bark'],[],[],10.0,44100
Val/ResidentialArea/ResidentialArea_user0817_14984040_005.wav,Val/ResidentialArea/ResidentialArea_user0817_14984040_005.wav,ResidentialArea,['Raindrop'],val,real-unknown,['Rain'],[],[],10.0,44100
Val/ResidentialArea/ResidentialArea_user0580_14884614_001.wav,Val/ResidentialArea/ResidentialArea_user0580_14884614_001.wav,ResidentialArea,['Bicycle'],val,real-unknown,['Bicycle_bell'],[],[],10.0,44100
Val/ResidentialArea/ResidentialArea_user0503_15016495_004.wav,Val/ResidentialArea/ResidentialArea_user0503_15016495_004.wav,ResidentialArea,['Bicycle'],val,real-unknown,['Fire'],[],[],10.0,44100
Val/Street/Street_user0575_14833140_003.wav,Val/Street/Street_user0575_14833140_003.wav,Street,"['Insect', 'Mouse']",val,real-unknown,['Cricket'],[],[],10.0,44100
Val/Elevator/Elevator_user0016_14895522_001.wav,Val/Elevator/Elevator_user0016_14895522_001.wav,Elevator,['Silence'],val,real-unknown,['Child_speech_and_kid_speaking'],[],[],10.0,44100
Val/Elevator/Elevator_user0016_14895522_002.wav,Val/Elevator/Elevator_user0016_14895522_002.wav,Elevator,"['Inside, small room', 'Silence']",val,real-unknown,['Child_speech_and_kid_speaking'],[],[],10.0,44100
Val/Elevator/Elevator_user0334_15518933_001.wav,Val/Elevator/Elevator_user0334_15518933_001.wav,Elevator,['Cupboard_open_or_close'],val,real-unknown,['Squeak'],[],[],10.0,44100
Val/Elevator/Elevator_user0266_14983348_003.wav,Val/Elevator/Elevator_user0266_14983348_003.wav,Elevator,['Silence'],val,real-unknown,['Child_speech_and_kid_speaking'],[],[],10.0,44100
Val/Elevator/Elevator_user0580_14893838_004.wav,Val/Elevator/Elevator_user0580_14893838_004.wav,Elevator,[],val,real-unknown,['Child_speech_and_kid_speaking'],[],[],10.0,44100
Val/Elevator/Elevator_user0266_14983348_004.wav,Val/Elevator/Elevator_user0266_14983348_004.wav,Elevator,"['Inside, small room', 'Silence']",val,real-unknown,['Child_speech_and_kid_speaking'],[],[],10.0,44100
Val/Elevator/Elevator_user0580_14893838_003.wav,Val/Elevator/Elevator_user0580_14893838_003.wav,Elevator,['Tambourine'],val,real-unknown,['Child_speech_and_kid_speaking'],[],[],10.0,44100
